Indonesian,Minangkabau
bersumpah,basumpah
bersumpah,basumpah
bersumpahlah,basumpahlah
bersusah,basusah
bersyukurlah,basyukurlah
bertabrakan,balantak
bertabrakan,baradu
bertahan,batahan
bertahanlah,batahanlah
bertahun,ba tahun
bertahun,batahan
bertahun,batahun
bertahun,bataun
bertahun,betaun
bertali,batali
bertanya,batanyo
bertanya,bertanyo
bertanya,betanyo
bertanya-tanya,batanyo-tanyo
bertaruh,bataruah
bertaruhlah,bataruhlah
bertarung,bacakak
bertarung,baradu
bertarung,batandieang
bertarung,bataruang
bertarung,batarung
bertarung,laga
bertarunglah,bacakaklah
bertarunglah,balawanlah
bertatap,batatap
berteknologi,bateknologi
bertekuk,batakuak
berteman,bakawan
berteman,bakonco
bertempur,baparang
bertemu,basobok
bertemu,basuo
bertemu,batamu
bertenang,batanang
bertepuk,batapuak
berteriak,basorak
berteriak,batariak
berteriak,hariak
berteriak,mamakiak
berteriaklah,mamakiaklah
berterima,batarimo
berterima,berterima
berterima,manarimo
berterimakasih,batarimo kasih
bertetangga,batatanggo
bertindak,babuek
bertindak,bagageh
bertindak,batindak
bertindaklah,batindak
bertingkah,batingkah
bertiup,barambuih
bertobat,batobat
bertopeng,batopeng
bertopengmu,batopeng ang
bertubrukan,balantak
bertubuh,babadan
bertubuh,batubuh
bertuliskan,batulis an
beruang,baruang
beruang,biruang
berubah,barubah
berubah,baubah
berucap,baucap
beruntung,baruntuang
beruntung,baruntung
beruntung,baruntuong
beruntung,bauntuang
beruntung,bauntung
beruntunglah,baruntunglah
beruntungnya,baruntungnyo
berurai,bausai
berurusan,baurusan
berurutan,baurutan
berusaha,barusaha
berusaha,barusaho
berusaha,bausaho
berusaha,berusaho
berusaha,diusahoan
berusahalah,bausaholah
berutang,bautang
berwenang,bawenang
berzinah,bazinah
besar,gadang
besar,godang
besar sekali,gadang bana
besar-besaran,gadang-gadangan
besarkan,gadang an
besarkan,gadangkan
besi,basi
besok,bisuak
besok,bisuok
besok,isuak
betapa,alangkah
betapa,baa
betapa,batapo
betapa,betapa
betapa,betapo
betapa,semedi
betul,bana
betul,batua
betul,batuah
betul,botul
betulkah,bana ndak
betulkah,batuakah
betulkan,banakan
biar,bia
biar,bialah
biar,pabia
biar,padia
biar,padian
biarkan,bia an
biarkan,biaan 
biarkan,biakan
biarkan,bialah
biarkan,biarjolah
biarkan,pabiaan
biarkan,padia se
biarkanmu,biaan kau
biasa,biaso
biasakan,biasokan
biasalah,biasolah
biasanya,biasanyo
biasanya,biasonyo
biaya,biayo
biaya,ongkos
biaya,pangaluaran
biayai,biayai
bibi,etek
bibiku,etek ambo
bibiku,etek den
bibinya,eteknyo
bibir,bibia
bibirku,bibia ambo
bibirku,bibia den
bibirmu,bibia ang
bibirmu,bibia den
bibirmu,bibia denai
bibirnya,bibianyo
bicara,.mangecek
bicara,bicaro
bicara,kecek
bicara,kecek'an
bicara,mangecek
bicara,ngecek
bicarakan,barundiang
bicarakan,bicaroan
bicarakan,bicarokan
bicarakan,kecek'an
bicarakan,kecekan
bicarakan,kecekkan
bicarakan,mangecean
bicarakan,mangecekan
bicarakan,mangecekkan
bicarakan,ngecekan
bicaralah,mangecek lah
bicaramu,mangecek ang
bicaramu,mangecek kau
bidang,bagian
bidang,bidang
bidang,lapangan
bidang,sagi
bidang,suduik pandang
bidangku,bidang ambo
bidangku,bidang den
bidangmu,bidang ang
bidangmu,bidang kau
bidik,bidik
bijak,bijak
bijak,pandai
bijakmu,bijak ang
bijakmu,bijak kau
biji,incek
bikin,buek
bila,bilo
bila,jiko
bila,jikok
bilaaang,bilang
bilaaang,ngecek
bilang,etoang
bilang,kecean
bilang,kecek
bilang,kecek an
bilang,kecekan
bilang,ngecek
bilang,sabuik
bilang,sobui
bilik,biliak
bilik,tadia
bimbang,bimbang
bimbang,ragu
binatang,binatang
binatang,hewan
binatangnya,binatangnyo
bintang,bintang
bintang,rasi
bintang,tando jaso
bintang,tando pangkek
biola,biala
biolanya,biolanyo
bir,bir
birahi,birahi
biru,kulabu
bis,oto
bisa,amuah
bisa,bisa
bisa,biso
bisa,buliah
bisa,dapek
bisa,dopek
bisa,lai
bisa,namuah
bisa,talok
bisa jadi,bisa jadi
bisakah,bisa
bisakah,bisa ndak
bisakah,bisakah
bisakah,bisanyo
bisakah,biso
bisakah,buliahkah
bisakah,dopek
bisakah,lai bisa
bisakah,laibisa
bisakan,bisakan
bisakan,pandaikan
bisikan,bisik an
bisnis,bausaho
bisnis,bisnis
bisnis,dagang
bisnis,manggaleh
bisnis,menggaleh
bisnis,usaho
bisnisku,bisnis ambo
bisnisku,usaho ambo
bisnisnya,bisnis inyo
bisnisnya,bisnisnyo
bisu,bisu
bius,biuih
biusnya,biusnyo
blog,blog
bobot,bobot
bocah,anak
bocah,anak anak
bocah,anak ketek
bocah,paja
bocah,paja ketek
bocah,pajaketek
bocah,pepaja
bocah,pipaja
bocor,bocor
bocor,tirih
bocoran,bocoran
bocoran,tirihan
bocornya,bocornyo
bocornya,tirihannyo
bodoh,andiah
bodoh,bele
bodoh,binguang
bodoh,boco
bodoh,bodoh
bodoh,bongak
bodoh,ele
bodoh,engak
bodoh,ongok
bodohmu,bongak ang
bodohnya,bongaknyo
bohong,baduto
bohong,duto
bohong,kicuah
bohong,paduto
bohong,panduto
bokong,ikua
bokongku,ikua ambo
bokongmu,ikua ang
bokongnya,ikua nyo
bola,bal
bola,rago
bola basket,bola basket
bolamu,bola ang
boleh,buliah
boleh,bulieh
bolehkah,buliahkah
bolehlah,bulialah
bolos,bolos
bom,bom
bomnya,bomnyo
boneka,anak-anakan
boneka,boneka
bongkar,bongkar
bornya,bornyo
bosan,bosan
bosku,bos ambo
bosmu,bos ang
bosnya,bosnyo
botak,botak
botolnya,botolnyo
brengsek,bangsat
brengsek,brengsek
brengsek,kanciang
brengsek,cigak
brengsek,galadia
brengsek,kalera
brengsek,kapindiang
brengsek,kurang aja
brengsek,paulah
brilian,cadiak
brilian,pandai
brosur,brosur
buah,buah
buahku,buah ambo
buahmu,buah ang
bualan,bualan
bualan,gadang ota
bualannya,bualanyo
bualannya,gadang otanyo
buang,buang
buang,lantiang
buang,campaan
buang,campak
buang,campak'an
buang,campakan
buang,campakkan
buangan,buangan
buangan,campak an 
buanglah,buanganlah
buanglah,campak anlah
buas,buas
buat,buek
buatanmu,buek an ang
buatkan,buek an
buatku,buek ambo
buatlah,bueklah
buatmu,buek ang
budeg,pakak
bugil,bugil
bugil,ndak babaju
bujangan,bujang
buka,buka
buka,buka an
buka,bukak
buka,buko
bukakan,bukak an
bukalah,bukalah
bukan,indak
bukan,ndak
bukankah,apoiyo
bukankah,bukan e
bukankah,bukankah
bukankah,indak
bukankah,indak kah
bukankah,indakah
bukankah,indakkah
bukankah,indaklah
bukankah,ndakkoh
bukankan,indakkan
bukanlah,bukanlah
bukanlah,bukanyo
bukanlah,indak
bukanlah,indakdo
bukanlah,indakkah
bukanlah,indaklah
bukanlah,ndaklah
bukannya,bukannyo
bukannya,indak itu
bukannya,indak nyo
bukannya,indakknyo
bukannya,indaknyo
bukannya,ndaknyo
buketnya,buketnyo
bukit,bukik
bukitnya,bukiknyo
bukti,bukti
bukti,sasi
bukti,tando
buktikan,bukti an
buktimu,bukti ang
buku,buku tulih
buku,kitab
buku harian,buku harian
bukuku,buku ambo
bukumu,buku ang
bulan,bulan
bulatkan,bulekkan
bulu,bulu
bulu,miang
bulumu,bulu ang
bumerang,bumerang
bumi,bumi
bumi,dunia
bumi,jagaik
buncis,buncis
bunda,bundo
bunga,bungo
bunga,tando-tando elok
bungkam,ontok
bungkus,bungkuih
bungkus,tungkuih
buntu,buntu
bunuh,bonoh
bunuh,bunuah
bunuh,bunuh
bunuh,bunuoh
bunuh,bunuuh
bunyikan,bunyi an
bunyinya,bunyinyo
buram,buram
buram,kurang jaleh
buram,ndak jaleh
burger,burger
burger,roti
buronan,buronan
buru-buru,tagasah-gasah
buru-buru,takaja-kaja
buruan,capek an
buruh,buruah
buruk,buruak
buruk,buruok
buruk,buwuak
burukmu,buruak ang
buruknya,buruaknyo
burung,buruang
burung,unggeh
bus,bis
bus,oto gadang
buset,buset
busnya,otonyo
busuk,busuak
butir,butir
butuh,butuah
butuh,butuh
butuh,paralu
butuh,polu
butuhkan,butuahan
butuhkan,butuakan
butuhkan,butuh an
butuhkan,butuhan
butuhkan,butuhkan
butuhkan,paralu
butuhkan,paraluan
butuhkan,paralukan
buyutku,buyuik ambo
bye,lah
cabe,lado
cabul,cabul
cabut,cabuik
cacar,panyakik caca
cacat,cacat
cacatnya,cacatnyo
cadang,cadang
cadangan,panaruahan
cadangan,pasadiaan
cadanganmu,cadangan ang/kau/inyo
cadangannya,cadangannyo
cadangkan,cadangan
cadarnya,cadarnyo
cafe,cafe
cahaya,cahayo
cahaya,cayo
cakap,sanggup
cakaplah,sangguplah
cakar,alaik panggauik
cakram,cakram
calon,calon
calon,nan ka jadi
cambuk,cambuik
cambuk,palacuik
cambukku,cambuk den
campak,campak
campak,compak
campuran,campuaran
candaan,gurauan
canggung,cangguang
cangkir,galeh
cantik,ancak
cantik,ancak 
cantik,cantiak
cantik,cantik
cantik,elok
cantik,kamek
cantik,rancak
cantiknya,kameknyo
cantiknya,rancaknyo
cantumkan,cantumkan
cap,cap
cap,merek
capek,latiah
cara,caro ajak
cara,usao
caramu,caro ang/inyo
caranya,caranyo
caranya,caro
caranya,caronyo
cari,caghi
cari,cari
carikan,carian
carilah,carilah
cat,cat
catat,catat
catatan,catatan
catatan,saraik
catatanku,catatan den/ambo
catatanmu,catatan ang/kau
catlah,catlah
catur,catua
cawan,cangkia
cawan,cawan
cawan,mangkuak
cawan,tadah cawan
cctv,cctv
cd,kaset
cegah,cegah
cekatannya,cekatannyo
ceknya,ceknyo
celah,celah
celahnya,celahnyo
celana,cawek
celana,sarawa
celana dalam,kolor
celana panjang,sarawa panjang
celanamu,sarawah ang/kau
celananya,sarawahnyo
celcius,celcius
celupan,celup an
cemas,cameh
cemaskan,cameh an
cengeng,cengeng
cengeng,panangi
cepat,capek
cepat,copek
cepat,kancang
cepat,lakeh
cepatlah,capeklah
cepatlah,copek
cepatlah,copekla
cepatlah,copeklah
cerah,cerah
cerai,carai
cerai,cerai
cerai,pisah
ceramahmu,ceramah ang
cerdas,bautak tajam
cerdas,cadeh
cerdas,cadiak
cerdas,"cadiak, santiang"
cerdas,cordiak
cerdas,pandai
cerdas,pintar
cerdas,santiang
cerdasnya,cadiaknyo
cerdasnya,pandainyo
cerewet,manyinyia
ceri,ceri
cerita,carito
cerita,hikayaik
cerita,kaba
cerita,ota
ceritakan,caritoan
ceritakan,caritokan
ceritakan,ceritoan
ceritakan,ceritokan
ceritakan,kecek an 
ceritakanlah,caritoanlah
ceritaku,carito den
ceritamu,carito ang/kau
cermat,cermat
cermin,camin
cermin,kaco
cermin,tuladan
cerminnya,cerminyo
ceroboh,ceroboh
cetak,cap
cetak,cetak
cetak,merek
cewek,padusi
cewek,parampuan
cewek,wanita
cicipi,cicipi
cicipi,cubo
cincang,cincang
cincin,cincian
cincin,cincin
cinderamata,cinderamata
cinderamata,oleh-oleh
cinta,cinto
cintai,cintai
cintaku,cinto den
cintamu,cinto ang
ciptaan,ciptaan
ciptaan,karangan
ciptaan,nan dijadian
ciptakan,ciptakan
cium,cium
ciuman,baciuman
ciuman,balangga
ciuman,balantak
ciuman,baradu
ciuman,baumaian
ciumanmu,ciuman ang/kau
ciumlah,ciumlah
coba,coba
coba,cubo
coba,"cubo, cicubo"
cobaan,cobaan
cobalah,bacubo
cobalah,cobalah
cobalah,cubolah
cobalah,mancubolah
cocok,cocok
cocok,pas
cocok,sasuai
cocok,"sasuai, cocok"
cocok,suai
coklatmu,coklat ang
contekan,contean
cowok,barani
cowok,jantan
cowok,urang laki-laki
cuaca,cuaco
cuaca,kaadan udaro
cuacanya,cuaconyo
cucuku,cucu den
cucumu,cucu ang/inyo/kau
cuekin,acuah
cuekin,cuekin
cukup,alah
cukup,cukuik
cukuplah,cukuiklah
culik,culiak
culiklah,culiaklah
cuma, cuma
cuma,anyo
cuma,cuma
cuma,cumo
cuma,hanyo
cuma,itu ajo
cuman,cumo
cuplikan,cuplikan
curi,cilok
curi,maliang
curiga,curiga
cuti,cuti
cuti,libur
cutiku,cuti den
cutiku,libur den
dada,dado
dadakan,tibo-tibo
dadaku,dado den
dadamu,dado ang/kau
dadu,dadu
daerah,daerah
daerah,luak
daftar,daftar
daftarnya,daftarnyo
daging,bantai
daging,daging
daging,lauak
daging sapi,dagiang sapi
dagingmu,daging ang/kau
dagu,dagu
dagumu,dagu ang/kau
dahaga,dahaga
dahan,dahan
dahannya,dahannyo
dahiku,kaniang den
dahsyat,dahsyat
dahsyatnya,dahsyatnyo
dakwaan,dakwaan
dalam,dalam
dalam ruangan,dalam ruangan
dalaman,dalaman
dalamanmu,dalaman ang/kau
dalamnya,dalamnya
dalamnya,dalamnyo
dalangnya,dalangnyo
dalangnya,pelakunyo
dampak,bantuaran
dana,pambarian
dana,sumbangan
dananya,dananyo
danau,danau
dandanan,dandanan
dansa,manari
dansamu,dansa kau/ang
dansamu,nari ang/kau
dapat,dapek
dapat,mondapek
dapat,suo
dapatkah,dapek ndak
dapatkah,dapekkah
dapatkan,dapean
dapatkan,dapek an
dapatkan,dapek'an
dapatkan,dapekan
dapatkan,dapekkan
dapatkan,mandapek an
dapatkannya,dapek an nyo
dapur,dapua
dapur,tampek mamasak
dapurnya,dapunyo
dapurnya,dapurnyo
darah,bakaik
darah,darah
darahku,darah den
darahmu,darah ang/kau
darat,darek
darat,padalaman
daratannya,daratanyo
dariku,dari den
darimana,dari ma
darimanapun,dari mano pun
darinya,dari inyo
darinya,darinyo
darinya,deknyo
darinya,dirinyo
daripada,dari pado
daripada,daripado
darisini,dari siko
darurat,dadurat
darurat,darurai
darurat,darurat
darurat,darureik
darurat,darurek
dasar,dasa
dasar,dasar
dasar,dasara
dasawarsa,dasawarsa
dasi,dasi
data,data
datang,datang
datang,tibo
datangi,datangi
datanglah,datangan lah
datar,data
dataran,lapangan
dataran,tanah nan data
daun,daun
daya,dayo
daya,kemampuan
daya,kesanggupan
daya,tanago
daya tarik,dayo tarik
dayamu,daya kau/ang
dayung,dayuang
dayung,dayuang pandayuang
dayung,kayuah
dayung,pangayuah
dayung,radai di dado ikan
debat,bantah
debat,debaik
debu,abu
debu,gabuak
debu,kabuik
dedaunan,dadaunan
dekat,dakek
dekat,dokek
dekatkan,dakek an
dekatmu,dakek ang
dekorasi,gamba iasan
dekorasi,iasan
delapan,dalapan
delapan,lapan
delapan,salapan
delapan,selapan
delapan belas,lapan baleh
delapanpuluh,lapan puluah
demam,badan angek
demam,damam
demam,mandingin
demikian pula,demikian pulo
demo,demo
demokrasi,pamarentahan rayaik
demonstrasi,patunjuakan
demonstrasi,tontonan
denda,dando
dendam,dandam
dengamu,jo ang/kau
dengan,dangan
dengan,dengan
dengan,jo
dengan,samo
dengan,samo sia
denganku,jo den
denganmu,dangan ang
denganmu,dangan-waang
denganmu,dek ang
denganmu,dengan ang
denganmu,dengan inyo
denganmu,jo ang
denganmu,jo waang
denganmu,joang
denganmu,jowaang
denganmu,samo ang
denganmu,samo kau
dengannya,dangan-inyo
dengannya,dangannyo
dengannya,deknyo
dengannya,dengannyo
dengannya,jo
dengannya,jo inyo
dengannya,joinyo
dengannya,samo inyo
dengannya,samoinyo
dengannya,samonyo
dengar,danga
dengar,dengoan
dengar,donga
dengarkan,dagaan
dengarkan,danga an
dengarkan,dangaan
dengarkan,dangakan
dengarkan,dengaan
dengarkanlah,dangaanlah
dengarlah,dangalah
denyut,danyuik
denyutan,danyuik an
depan,dapan
depan,dimuko
depan,dopan
depan,muko
depanku,muko den
depanmu,muko ang/kau
depannya,mukonyo
derajat,darajaik
derajat,kaduduakan
derajat,pangkek
derajat,titel
derasnya,darahnyo
derek,alaik panaiakan
derek,alaik panurunan
derek,derek
dering,dariang
deritanya,daritonyo
dermawan,pamurah ati
desa,kampuang
desa,kampuangan
desa,kolot
desa,nagari
desainku,disain den
desainnya,disaiinyo
desember,desmber
deskripsi,uraian
detak,datak
detektor,detektor
detik,datiak
detik,datiek
detik,detik
detik,dotiak
detik,wakotu
detiknya,datiaknyo
detiknya,detiknyo
dewa,dewa
dewan,dewan
dewanku,dewan den
dewasa,bujang
dewasa,dewasa
dewasa,dewaso
dewasa,dewaso.
dewasa,"gadang, dewasa"
dewasalah,dewasalah
di atas,diateh
di bawah,dibawa
di depan,dimuko
di luar,dilua
di luar negeri,dilua nagari
di luar rumah,dilua rumah
di manapun,dimanopun
di samping,disampiang
di seluruh dunia,di saluruh dunia
di suatu tempat,di suatu tampek
di tempat lain,di tampek lain
dia,iko
dia,inyo
dia,wa ang
dia,waang
diagram,diagram
diajar,di aja
dialah,inyolah
dialek,dialek
dialih,dialiah
dialihkan,dialiahan
dialog,karya tulih
dialog,pecakapan
diam,aniang
diam,anok
diam,antok
diam,diam
diam,onok
diam,ontok
diam-diam,anok-anok
diamankan,diamanan
diambang,diambang
diambilnya,diambiaknyo
diamlah,anianglah
diamlah,anokla
diamlah,anoklah
diamlah,antoklah
diamonds,diamond
diampuni,diampuni
diandalkan,diandalkan
diantar,dianta
diantarkan,dianataan
diasah,diasah
diasumsikan,diasumsian
diasuransikan,diasuransian
diatap,diatok
diatasnya,diatehnyo
diawetkan,diawet an
dibacok,dibacok
dibagian,dibagian
dibahas,dibahas
dibajak,dibajak
dibalas,dibaleh
dibaliknya,dibaliaknyo
dibanding,dibandiang
dibanggakan,dibanggakan
dibangkitkan,dibangkik an
dibangunkan,dibangunkan
dibangunkan,dijagoan
dibanjiri,dibanjiri
dibantah,dibantah
dibaptis,dibaptis
dibaringkan,dilalok an
dibarisan,dibarisan
dibawah,dibawah
dibawahnya,dibawahanyo
dibayarkan,dibayiaan
dibebankan,dibabanan
dibebas,dibebas
dibelakang,dilakang
dibelakangku,dibalakang den
dibelakangku,dilakang den
dibelakangmu,dibalakang ang/kau
dibelakangmu,dilakang ang/kau
dibelinya,dibalinyo
dibenci,dibanci
diberikan,di agiahkan
diberikan,di agihan
diberikan,diagi
diberikan,diagiah'an
diberikan,diagiahan
diberikan,diagiahkan
diberikan,dibarian
diberikan,dibarikan
diberikan,pauntuk an
diberitahu,diagiah tau
diberitahu,diberitau
diberitahukan,diagiah tau an
diberitahukan,diberitahuan
diberkahi,diberkahi
diberkati,diberkati
diberlakukan,diberlakuan
dibiarkan,dibia an
dibiarkannya,dibia an nyo
dibimbing,dibimbing
dibinasakan,dibinasakan
diblokir,diblokir
dibodohi,dibodohi
dibom,dibom
dibor,dibor
diborgol,diborgol
dibotolnya,dibotolnyo
dibuat,di buek
dibuat,dibuek
dibuat,dibuekan
dibujuk,dibujuk
dibulan,dibulan
dibunuh,di bunuh
dibunuh,dibunuah
dibunyikan,dibunyian
dicabut,dicabuik
dicampuradukkan,dicampua duk an 
dicat,dicat
dicegat,diambek
dicegat,dicegat
dicek,dicek
dicekik,dicakiak
dicelup,dicelup
dicerna,dicerna
dicintainya,dicintainyo
dicium,dicium
dicoba,dicubo
dicopot,ditanggaan
diculik,diculiak
dicuri,dicilok
dicuri,dicuri
didakwa,didakwa
didakwakan,didakwaan
didalam,didalam
didamaikan,didamaian
didandani,didandani
didebat,didebat
didedikasikan,didedikasian
didekati,didakek an
dideklarasikan,dideklarasian
didengarnya,didangaan
didepan,dimuko
didepannya,dimukonyo
didiagnosa,didiagnosa
didiriku,didiri den
didiskualifikasi,didiskualifikasi
didownload,didownload
didunia,didunia
diedit,diedit
diejek,diejek
dievakuasi,dievakuasi
difilm,difilm
digali,digali
diganggu,diganggu
digenggam,diganggam
digerogoti,digerogoti
digeser,digeser
digugat,digugat
digunakan,di gunokan
digunakan,diguno'an
digunakan,digunoan
digunakan,digunokan
digunakan,dipagunoan
digunakan,dipakai
digunakan,dipsgunokan
digunakan,paguno
digunakan,pagunoan
dihadapan,dihadapan
dihadapi,dihadapi
dihajar,dihajar
dihalaman,dihalaman
dihalangi,dihalangi
dihantui,dihantui
dihati,dihati
dihatimu,dihati ang/kau
dihibur,dihibur
dihindari,dihindari
dihisap,dihisok
dihotel,dihotel
dihubungi,dihubungi
dihujani,dihujani
diidentifikasi,diidentifikasi
diidentifikasikan,diidentifikasikan
diijinkan,diijinan
diijinkannya,diijinannyo
diikut,diikuik
diimbangi,diimbangi
diincar,diincar
diinformasikan,dinformasian
diingatkan,diingek an
diinjak,diinjak
diinjakkan,diinjak an
diinvestasikan,diinvestasi an
dijabarkan,dijabar an
dijadikannya,dijadikan nyo
dijadwalkan,dijadwalkan
dijahit,dijahit
dijalan,dijalan
dijamin,dijamin
dijatuhkan,dijatuah han
dijawab,dijawek
dijebak,dijebak
dijelajah,dijalajah
dijelajahi,dijalajahi
dijendela,dijendela
dijumpa,dijumpoi
dijumpainya,dijumpoinyo
dikabulkan,dikabulkan
dikacaukan,dikacauan
dikamar,dibiliak
dikamar,dikamar
dikamarku,dibiliak den
dikamarku,dikamar den
dikantongmu,dikantong ang
dikapsul,dikapsul
dikasi,diagiah
dikasihani,dikasihani
dikatakan,di katokan
dikatakan,dikato'an
dikatakan,dikatoan
dikatakan,dikatokan
dikatakan,dikecekan
dikatakan,dikecekkan
dikatakan,dikotoan
dikatakannya,dikatoannyo
dikawal,dikawal
dikebiri,dikebiri
dikecilkan,diketek an
dikejar,dikaja
dikeluarin,dikaluan
dikenal, dikenal
dikenal,di kenal
dikenal,dikana
dikenal,"dikana, dikenal"
dikenal,dikanal
dikenal,dikenal
dikenal,dikonal
dikenal,urang tau
dikencingi,dikancianggan
dikepalamu,dikepalo ang
dikerahkan,dikerahan
dikerjai,dikajaan
dikhawatirkan,dikhawatirkan
dikhususkan,dikhususan
dikhususkan,dikhususkan
dikira,dikiro
dikirimi,dikirimi
diklasifikasikan,diklasifisikan
dikonfigurasi,dikonfigurasi
dikontrak,dikontrak
dikorbankan,dikorbanan
dikosongkan,dikosongan
dikuasainya,dikuasainyo
dikuliahkan,dikuliahan
dikunci,dikunci
dikurung,dikuruang
dilacak,dilacak
dilaknat,dilaknat
dilaksanakannya,dilaksanakannyo
dilakukan,balakuan
dilakukan,di karojo an
dilakukan,dibuek
dilakukan,dibuekan
dilakukan,dikarajoan
dilakukan,dikarajokan
dilakukan,dikarojoan
dilakukan,dilakuan
dilakukan,mangarajoan
dilanggar,dilanggar
dilantai,dilantai
dilarikan,dilarian
dilayangkan,dilayangan
diledakkan,diladak an
dileher,di lihia
dilempar,dilempa
dilepas,dilapeh
dilewatinya,dilewatinyo
dilihatnya,dicaliaknyo
diluar,di lua
diluar,dilua
diluar,diluah
dilubang,dilubang
dilukai,dilukoi
dilunasi,dilunasi
dilupakan,dilupoan
dimainkannya,dimainkannyo
dimalam,dimalam
dimana,di ma
dimana,dima
dimana,dimano
dimana mana,dima-ma
dimanapun,dima pun
dimanapun,dimano pun
dimanja,dimanjo
dimanjakan,dimanjoan
dimasa,dimaso
dimasuki,dimasuaki
dimata,dimato
dimataku,dimato den
dimatamu,dimato ang
dimatikan,dimatian
dimeja,dimeja
dimilikinya,dimilikinyo
dimobil,dioto
dimohon,dimohon
dimuka,dimuko
dimulai,bamulai
dimulai,bamulo
dimulai,di mulai
dimulai,dimulai
dimulutnya,dimuluiknyo
dimusim,dimusim
dimusnahkan,dimusnahan
dimutilasi,dimutilasi
dinaiki,dinaiki
dinamo,dinamo
dinantikan,dinantian
dinas,dineh
dinas,jawatan rasmi
dinding,dindiang
dingin,dingin
dingin,sajuak
dingin,sajuok
dingin,sojuk
dingin,sojuok
dinginnya,dinginnyo
dinihari,dini hari
dinikahkan,dinikahan
dinosaurus,dinasaurus
dinosaurus,dinosaurus
dinyalakan,dihiduik an
dinyalakan,dinyaloan
diotopsi,diotopsi
dipadamkan,dipadaman
dipaksakan,dipaksoan
dipalsukan,dipalsukan
dipangkuan,dipangkuan
dipangkuanku,dipangkuan den
dipantai,dipantai
dipantatnya,di ikuanyo
diparkir,diparkir
dipasangi,dipasangi
dipasarkan,dipasaan
dipatok,dipatok
dipecahkan,dipacahan
dipedulikan,dipedulian
dipelukan,dipaluak an
dipenggal,dipenggal
dipenjara,dipanjaro
diperalat,diperalat
diperbaiki,dipaelok
diperban,diperban
diperbarui,diperbarui
diperbatasan,dipabatehan
diperbincangkan,diperbincangan
diperbolehkan,dipabulihan
diperbuat,dipaelok
dipercepat,dipacapek
diperhitungkan,dipahituangan
diperingatkan,diparingek an
diperjalanan,dipajalanan
diperjuangkan,dipajuangan
diperlakukan,dipalakuan
dipermalukan,dipamaluan
dipersalahkan,dipamasalahan
dipersatukan,dipasatuan
dipersilahkan,dipasilahan
dipertaruhkan,dipataruhan
dipertunjukkan,dipatunjuan
dipertunjukkan,dipertunjukan
dipesawat,dikapa tabang
dipesawat,dipasawat
dipihakmu,dipihak ang/kau
dipijat,dipijat
dipikirin,dipikia
dipikirkan,dipikiaan
dipikirkannya,dipikiaannyo
dipompa,dipompa
diposisi,diposisi
diposisimu,diposisi ang/kau
diprediksi,diprediksi
diprogram,diprogram
diprogramkan,diprogramkan
diprovokasi,diprovokasi
dipuja,dipuja
dipukuli,ditokok
dipukuli,ditumbuak
dipulangkan,dipulangan
dipulau,dipulau
dipunggungnya,dipunggungnyo
dipusatkan,dipusatkan
diputuskan,diputuih han
diracun,diracun
diragukan,diraguan
dirahasiakan,dirahasiaan
diramalkan,diramalan
dirampok,dirampok
dirasuki,dirasuki
dirayu,dirayu
direbahkan,dibarianggan
direferensikan,direferensian
direkening,direkening
direkrut,direkrut
direktur,direktur
direktur,kapalo direktorat
diremehkan,dirandahan
diremehkan,diremehan
direquest,direquest
dirgahayu,dirgahayu
diri,alah ado
diri,alah dijadian
diri,tagak
diriku,diri den/ambo
dirimu,diri ang/kau
dirimu sendiri,diriang surang
dirinya,awaknyo
dirinya,badannyo
dirinya,diinyo
dirinya,dirinyo
dirinya,inyo
diruangan,diruangan
dirugikan,dirugian
dirumah,dirumah
dirumahmu,dirumah ang/kau
dirusak,dirusak
disaat,disaat
disakiti,disakiti
disalahkan,disalahan
disamarkan,disamar an
disampingku,disampiang den
disampingmu,disampiang ang/kau
disana,di sano
disana,disano
disana,disinan
disana,disitan
disanalah,disinanlah
disandera,disandera
disandera,ditahan
disaring,disaring
disatukan,disatuan
disayangkan,disayangan
disco,ba dj
disco,dicso
disebar,disebar
disebelah,disabalah
disebelahnya,disabalahnyo
disebrang,disebrang
disebut,di kato
disebut,dikecek
disebut,disabui
disebut,disabuik
disebut,tasabuik
disedot,disedot
disegel,disegel
disekitar,disekitar
disekitarnya,disekitarnyo
diselidiki,diselidiki
diselimuti,diselimuti
disembuhkan,disembuhan
disembunyikan,disembunyian
disengaja,disangajo
disepelekan,disepelean
disidang,disidang
disimak,disimak
disini,disiko
disinilah,disikolah
disiplin,"disiplin, atuaran"
disita,disita
disitu,disinan
diskon,diskon
ditangkap,di tangkok
ditangkap,ditangkok
ditemukan,basobokan
ditemukan,basuo
ditemukan,di tamukan
ditemukan,disarobokan
ditemukan,disobokan
ditemukan,ditamua'an
ditemukan,ditamuan
ditemukan,ditamui
ditemukan,ditamukan
diterima,di tarimo
diterima,ditarimo
diterima,diterimo
diterima,nantarimo
diterjemahkan,di artian
diterjemahkan,di ubah bahasa
diterjemahkan,diaratian
diterjemahkan,diaratikan
diterjemahkan,diartian
diterjemahkan,ditajamahan
diterjemahkan,ditajamahkan
diterjemahkan,diterjemahkan
divisi,bagian
divisi,divisi
divisi,kalompok
dokter,doto
dokter,dotor
dokter gigi,dokter gigi
doktor,dotor
dokumen,dokumen
dokumen,karangan
dokumen,naskah
dokumen,surek
domba,domba
